change_id,opened_date,target_implementation_date,closed_date,status,site,department,process,affected_sop_ids,affected_equipment_ids,affected_system_ids,validation_impact,training_impact,owner,description
CC-001,2025-07-26,2025-09-12,,QA review,Basel Site,Packaging,Packaging,SOP-053|SOP-071,EQ-006,CSV-005,True,True,QA Owner 01,Synthetic change control for packaging process update.
CC-002,2025-07-29,2025-09-07,,implementation,Berlin Site,Packaging,Packaging,SOP-015|SOP-078,,CSV-002,True,True,QA Owner 01,Synthetic change control for packaging process update.
CC-003,2026-01-21,2026-04-23,,assessment,Basel Site,Production,Granulation,SOP-026|SOP-030,EQ-016|EQ-018,CSV-008,True,True,QA Owner 02,Synthetic change control for granulation process update.
CC-004,2025-10-28,2026-01-01,,QA review,Basel Site,Packaging,Packaging,SOP-080|SOP-075,EQ-011,CSV-004,True,True,QA Owner 01,Synthetic change control for packaging process update.
CC-005,2025-10-11,2025-12-07,,QA review,Basel Site,Production,Weighing,SOP-076|SOP-096|SOP-028,EQ-014,CSV-001,True,True,QA Owner 02,Synthetic change control for weighing process update.
CC-006,2026-04-19,2026-06-29,,implementation,Basel Site,Packaging,Packaging,SOP-003|SOP-052,EQ-004|EQ-002,CSV-003,True,True,QA Owner 02,Synthetic change control for packaging process update.
CC-007,2026-04-13,2026-05-19,,assessment,Berlin Site,QC Lab,QC Release Testing,SOP-075|SOP-018,EQ-016,CSV-010,True,True,QA Owner 01,Synthetic change control for qc release testing process update.
CC-008,2025-11-11,2026-02-26,,open,Berlin Site,Production,Cleaning,SOP-006,EQ-010|EQ-013,CSV-012,True,True,Packaging Owner 01,Synthetic change control for cleaning process update.
CC-009,2025-08-24,2026-01-05,,open,Berlin Site,Production,Sterile Filling,SOP-037,EQ-001|EQ-012,CSV-005,True,True,Packaging Owner 01,Synthetic change control for sterile filling process update.
CC-010,2026-02-26,2026-07-03,,open,Berlin Site,Production,Granulation,SOP-005|SOP-019,,CSV-009,True,True,Packaging Owner 01,Synthetic change control for granulation process update.
CC-011,2025-10-26,2025-12-17,,open,Basel Site,Production,Cleaning,SOP-021,EQ-012|EQ-008,CSV-007,True,True,QA Owner 01,Synthetic change control for cleaning process update.
CC-012,2025-08-20,2026-01-06,,assessment,Basel Site,QA Operations,Supplier Qualification,SOP-051,,CSV-006,True,True,QA Owner 02,Synthetic change control for supplier qualification process update.
CC-013,2026-01-03,2026-02-02,,implementation,Berlin Site,Engineering,Equipment Maintenance,SOP-006,,CSV-007,True,True,QA Owner 02,Synthetic change control for equipment maintenance process update.
CC-014,2026-02-23,2026-04-06,,QA review,Berlin Site,Packaging,Packaging,SOP-017,EQ-003|EQ-019,CSV-010,True,True,Packaging Owner 01,Synthetic change control for packaging process update.
CC-015,2025-12-06,2026-02-24,,implementation,Basel Site,Production,Weighing,SOP-044|SOP-079|SOP-007,EQ-020,CSV-010,True,True,QA Owner 01,Synthetic change control for weighing process update.
CC-016,2025-12-30,2026-04-29,,implementation,Berlin Site,Engineering,Equipment Maintenance,SOP-079|SOP-095,EQ-012|EQ-002,CSV-011,True,True,QA Owner 02,Synthetic change control for equipment maintenance process update.
CC-017,2025-12-08,2026-01-31,,open,Berlin Site,QA Operations,Supplier Qualification,SOP-043|SOP-082,EQ-006|EQ-004,CSV-010,True,True,QA Owner 02,Synthetic change control for supplier qualification process update.
CC-018,2025-08-07,2025-09-15,,implementation,Berlin Site,QA Operations,Supplier Qualification,SOP-097,,CSV-009,True,True,QA Owner 01,Synthetic change control for supplier qualification process update.
CC-019,2026-03-31,2026-07-08,,QA review,Berlin Site,QC Lab,QC Release Testing,SOP-064,EQ-018|EQ-001,CSV-003,True,True,QA Owner 02,Synthetic change control for qc release testing process update.
CC-020,2025-11-25,2026-01-15,,QA review,Berlin Site,Production,Sterile Filling,SOP-024|SOP-095,,CSV-001,True,True,QA Owner 02,Synthetic change control for sterile filling process update.
CC-021,2025-10-01,2025-11-30,,assessment,Basel Site,Engineering,Equipment Maintenance,SOP-010|SOP-078,EQ-002,CSV-009,True,True,QA Owner 02,Synthetic change control for equipment maintenance process update.
CC-022,2026-04-08,2026-06-03,,open,Basel Site,Production,Cleaning,SOP-076,EQ-010,CSV-011,True,True,Packaging Owner 01,Synthetic change control for cleaning process update.
CC-023,2026-02-22,2026-04-07,,assessment,Berlin Site,Production,Sterile Filling,SOP-096|SOP-036|SOP-043,,CSV-007,True,True,QA Owner 01,Synthetic change control for sterile filling process update.
CC-024,2026-02-17,2026-04-24,,assessment,Berlin Site,Production,Granulation,SOP-070,EQ-013|EQ-015,CSV-003,True,True,QA Owner 02,Synthetic change control for granulation process update.
CC-025,2026-03-01,2026-06-14,,assessment,Berlin Site,Engineering,Equipment Maintenance,SOP-040,EQ-003,CSV-007,True,True,QA Owner 02,Synthetic change control for equipment maintenance process update.
CC-026,2026-02-08,2026-05-31,,implementation,Berlin Site,Production,Granulation,SOP-025|SOP-075|SOP-096,EQ-009|EQ-014,CSV-002,True,True,QA Owner 01,Synthetic change control for granulation process update.
CC-027,2026-01-19,2026-02-20,,QA review,Basel Site,Packaging,Packaging,SOP-023,EQ-014|EQ-004,CSV-004,True,True,QA Owner 02,Synthetic change control for packaging process update.
CC-028,2026-03-07,2026-04-28,,QA review,Berlin Site,QC Lab,QC Release Testing,SOP-015|SOP-001,,CSV-001,True,True,QA Owner 02,Synthetic change control for qc release testing process update.
CC-029,2026-01-24,2026-03-13,,implementation,Berlin Site,Production,Sterile Filling,SOP-088|SOP-035|SOP-038,,CSV-003,True,True,QA Owner 02,Synthetic change control for sterile filling process update.
CC-030,2026-02-18,2026-06-01,,QA review,Berlin Site,Engineering,Equipment Maintenance,SOP-059|SOP-043|SOP-052,,CSV-003,True,True,Warehouse Owner 01,Synthetic change control for equipment maintenance process update.
CC-031,2026-03-27,2026-05-30,,assessment,Basel Site,Packaging,Packaging,SOP-029,,CSV-006,True,True,QA Owner 02,Synthetic change control for packaging process update.
CC-032,2025-08-01,2025-11-10,,implementation,Basel Site,Production,Cleaning,SOP-041|SOP-026,EQ-013|EQ-014,CSV-011,True,True,Packaging Owner 01,Synthetic change control for cleaning process update.
CC-033,2026-03-28,2026-06-15,,QA review,Basel Site,Production,Sterile Filling,SOP-015|SOP-012,EQ-001|EQ-008,CSV-001,True,True,QA Owner 01,Synthetic change control for sterile filling process update.
CC-034,2026-01-24,2026-04-10,,implementation,Berlin Site,Production,Granulation,SOP-026|SOP-054,,CSV-006,True,True,Supplier Quality Owner 01,Synthetic change control for granulation process update.
CC-035,2025-09-23,2026-01-25,,open,Berlin Site,Production,Granulation,SOP-095|SOP-024|SOP-053,,CSV-009,True,True,Warehouse Owner 01,Synthetic change control for granulation process update.
CC-036,2025-08-13,2025-12-12,2025-10-12,closed,Basel Site,Production,Cleaning,SOP-045|SOP-085|SOP-058,EQ-016|EQ-015,CSV-009,True,True,QA Owner 01,Synthetic change control for cleaning process update.
CC-037,2026-01-29,2026-04-26,2026-06-05,closed,Berlin Site,Engineering,Equipment Maintenance,SOP-083|SOP-066|SOP-055,EQ-013|EQ-002,,False,False,Validation Owner 01,Synthetic change control for equipment maintenance process update.
CC-038,2026-02-02,2026-06-15,2026-05-27,closed,Berlin Site,Production,Weighing,SOP-010|SOP-096|SOP-048,EQ-003,,False,True,Validation Owner 01,Synthetic change control for weighing process update.
CC-039,2025-08-25,2025-11-30,,open,Berlin Site,Production,Sterile Filling,SOP-041,EQ-010|EQ-003,,False,True,QA Owner 02,Synthetic change control for sterile filling process update.
CC-040,2025-10-11,2025-12-23,,assessment,Basel Site,QA Operations,Supplier Qualification,SOP-004,EQ-001,,False,True,Packaging Owner 01,Synthetic change control for supplier qualification process update.
CC-041,2025-07-12,2025-11-24,2025-08-14,closed,Basel Site,Production,Granulation,SOP-081,EQ-003,,False,False,Packaging Owner 01,Synthetic change control for granulation process update.
CC-042,2025-08-22,2025-12-03,2026-01-10,closed,Berlin Site,Engineering,Equipment Maintenance,SOP-031|SOP-046|SOP-069,EQ-013|EQ-002,,False,True,Packaging Owner 01,Synthetic change control for equipment maintenance process update.
CC-043,2025-11-25,2026-04-06,,implementation,Berlin Site,Production,Weighing,SOP-098,EQ-017,,False,True,Engineering Owner 01,Synthetic change control for weighing process update.
CC-044,2026-01-31,2026-05-23,,assessment,Berlin Site,Engineering,Equipment Maintenance,SOP-005,EQ-015,,False,True,Packaging Owner 01,Synthetic change control for equipment maintenance process update.
CC-045,2025-11-05,2026-03-07,2026-01-03,closed,Basel Site,Production,Sterile Filling,SOP-041|SOP-026|SOP-058,,,False,False,QC Owner 02,Synthetic change control for sterile filling process update.
CC-046,2025-08-31,2025-11-02,,implementation,Basel Site,QC Lab,QC Release Testing,SOP-025|SOP-055,EQ-019|EQ-011,,False,False,Packaging Owner 01,Synthetic change control for qc release testing process update.
CC-047,2025-10-10,2026-02-14,2026-02-18,closed,Basel Site,Packaging,Packaging,SOP-043|SOP-066,EQ-011,,False,False,QA Owner 02,Synthetic change control for packaging process update.
CC-048,2025-12-11,2026-01-23,,open,Berlin Site,QC Lab,QC Release Testing,SOP-093|SOP-032|SOP-020,,,False,False,QA Owner 01,Synthetic change control for qc release testing process update.
CC-049,2026-03-18,2026-05-31,2026-05-24,closed,Basel Site,Engineering,Equipment Maintenance,SOP-019,EQ-008|EQ-010,CSV-011,True,True,QA Owner 02,Synthetic change control for equipment maintenance process update.
CC-050,2025-10-22,2026-02-22,,assessment,Berlin Site,QA Operations,Supplier Qualification,SOP-047|SOP-071,EQ-010|EQ-009,CSV-003,True,True,QC Owner 02,Synthetic change control for supplier qualification process update.
CC-051,2025-07-09,2025-08-21,,open,Basel Site,Production,Weighing,SOP-073|SOP-020|SOP-039,,,False,True,Validation Owner 01,Synthetic change control for weighing process update.
CC-052,2026-01-13,2026-05-18,2026-05-16,closed,Berlin Site,QC Lab,QC Release Testing,SOP-050,,,False,False,Production Owner 01,Synthetic change control for qc release testing process update.
CC-053,2026-01-08,2026-03-09,,open,Basel Site,QA Operations,Supplier Qualification,SOP-053|SOP-038,EQ-017|EQ-018,,False,False,Packaging Owner 01,Synthetic change control for supplier qualification process update.
CC-054,2025-11-27,2026-01-09,,implementation,Basel Site,Engineering,Equipment Maintenance,SOP-092,EQ-003,,False,False,Production Owner 02,Synthetic change control for equipment maintenance process update.
CC-055,2026-02-18,2026-05-04,,implementation,Berlin Site,Production,Sterile Filling,SOP-043|SOP-081,EQ-014|EQ-012,,False,False,Warehouse Owner 01,Synthetic change control for sterile filling process update.
CC-056,2025-07-24,2025-11-19,2025-09-14,closed,Berlin Site,Packaging,Packaging,SOP-004|SOP-091|SOP-090,EQ-003,,False,False,QA Owner 02,Synthetic change control for packaging process update.
CC-057,2025-09-15,2025-11-25,,implementation,Basel Site,QC Lab,QC Release Testing,SOP-011|SOP-078|SOP-010,,,False,False,QA Owner 02,Synthetic change control for qc release testing process update.
CC-058,2025-11-20,2026-03-04,,open,Basel Site,Production,Weighing,SOP-036|SOP-006,EQ-020,,False,True,QC Owner 01,Synthetic change control for weighing process update.
CC-059,2025-07-26,2025-09-22,2025-10-23,closed,Berlin Site,QC Lab,QC Release Testing,SOP-098|SOP-003|SOP-095,EQ-015|EQ-010,CSV-002,True,True,Packaging Owner 01,Synthetic change control for qc release testing process update.
CC-060,2025-11-05,2025-12-12,,open,Berlin Site,Production,Weighing,SOP-046|SOP-099|SOP-004,EQ-013|EQ-006,CSV-011,True,True,QC Owner 01,Synthetic change control for weighing process update.
CC-061,2026-02-01,2026-06-18,,implementation,Berlin Site,Engineering,Equipment Maintenance,SOP-033|SOP-027,,CSV-006,True,True,Production Owner 01,Synthetic change control for equipment maintenance process update.
CC-062,2026-01-01,2026-02-28,2026-03-14,closed,Berlin Site,Packaging,Packaging,SOP-029|SOP-073|SOP-054,EQ-020,,False,True,QC Owner 02,Synthetic change control for packaging process update.
CC-063,2026-01-31,2026-05-13,,open,Berlin Site,Production,Cleaning,SOP-019|SOP-085,EQ-011|EQ-016,,False,True,QA Owner 02,Synthetic change control for cleaning process update.
CC-064,2025-12-11,2026-02-22,2026-01-23,closed,Berlin Site,Engineering,Equipment Maintenance,SOP-012|SOP-067,EQ-007,,False,True,QA Owner 01,Synthetic change control for equipment maintenance process update.
CC-065,2025-10-04,2026-01-18,2026-02-14,closed,Basel Site,Engineering,Equipment Maintenance,SOP-070|SOP-028|SOP-033,EQ-015|EQ-016,,False,True,QA Owner 01,Synthetic change control for equipment maintenance process update.
CC-066,2026-03-17,2026-07-17,2026-05-24,closed,Berlin Site,Production,Cleaning,SOP-080,,,False,False,QC Owner 02,Synthetic change control for cleaning process update.
CC-067,2025-11-09,2026-02-06,,open,Basel Site,QC Lab,QC Release Testing,SOP-082|SOP-097|SOP-025,EQ-012|EQ-004,,False,False,QA Owner 01,Synthetic change control for qc release testing process update.
CC-068,2025-09-29,2025-12-15,2026-01-14,closed,Basel Site,Production,Cleaning,SOP-097,EQ-001,CSV-003,True,True,QA Owner 02,Synthetic change control for cleaning process update.
CC-069,2025-11-25,2026-03-09,2026-03-31,closed,Basel Site,Production,Cleaning,SOP-004|SOP-031|SOP-088,EQ-002|EQ-016,,False,False,Packaging Owner 01,Synthetic change control for cleaning process update.
CC-070,2025-08-24,2025-12-07,2026-01-04,closed,Berlin Site,QA Operations,Supplier Qualification,SOP-063|SOP-060,EQ-017|EQ-007,,False,True,Validation Owner 01,Synthetic change control for supplier qualification process update.
CC-071,2026-03-22,2026-05-26,,open,Basel Site,QA Operations,Supplier Qualification,SOP-011|SOP-043|SOP-033,,,False,False,QC Owner 01,Synthetic change control for supplier qualification process update.
CC-072,2026-03-09,2026-04-24,2026-06-22,closed,Berlin Site,Production,Weighing,SOP-085|SOP-042,EQ-009,CSV-002,True,True,Warehouse Owner 01,Synthetic change control for weighing process update.
CC-073,2026-01-02,2026-03-24,,implementation,Berlin Site,Production,Granulation,SOP-058,EQ-016|EQ-018,CSV-001,True,True,Production Owner 01,Synthetic change control for granulation process update.
CC-074,2026-03-29,2026-05-30,,assessment,Berlin Site,Production,Granulation,SOP-055|SOP-033|SOP-082,,,False,False,QC Owner 01,Synthetic change control for granulation process update.
CC-075,2025-08-18,2025-09-26,,implementation,Basel Site,Engineering,Equipment Maintenance,SOP-088|SOP-099,,CSV-006,True,True,Packaging Owner 01,Synthetic change control for equipment maintenance process update.
CC-076,2025-11-27,2026-03-08,,implementation,Basel Site,Packaging,Packaging,SOP-052|SOP-023|SOP-010,EQ-009|EQ-002,,False,True,QA Owner 01,Synthetic change control for packaging process update.
CC-077,2025-12-04,2026-04-03,2026-02-07,closed,Berlin Site,Production,Granulation,SOP-085|SOP-018|SOP-086,,,False,True,Warehouse Owner 01,Synthetic change control for granulation process update.
CC-078,2025-12-04,2026-01-19,2026-04-19,closed,Berlin Site,Production,Granulation,SOP-021|SOP-071,EQ-002,,False,True,Packaging Owner 01,Synthetic change control for granulation process update.
CC-079,2026-02-20,2026-05-23,2026-04-01,closed,Basel Site,Engineering,Equipment Maintenance,SOP-077|SOP-085,EQ-017|EQ-011,CSV-002,True,True,Packaging Owner 01,Synthetic change control for equipment maintenance process update.
CC-080,2026-02-12,2026-06-30,2026-05-21,closed,Basel Site,QC Lab,QC Release Testing,SOP-012|SOP-042,EQ-010|EQ-004,,False,True,QC Owner 02,Synthetic change control for qc release testing process update.
CC-081,2026-03-20,2026-07-06,,open,Basel Site,QC Lab,QC Release Testing,SOP-045|SOP-051|SOP-029,EQ-006,CSV-012,True,True,QA Owner 02,Synthetic change control for qc release testing process update.
CC-082,2026-03-23,2026-05-17,,implementation,Berlin Site,Engineering,Equipment Maintenance,SOP-054,EQ-015,,False,True,Engineering Owner 01,Synthetic change control for equipment maintenance process update.
CC-083,2025-10-14,2026-02-27,,open,Berlin Site,Production,Weighing,SOP-041|SOP-015,,,False,True,Packaging Owner 01,Synthetic change control for weighing process update.
CC-084,2026-02-09,2026-06-21,,open,Basel Site,Production,Sterile Filling,SOP-012|SOP-005,EQ-001,,False,False,QA Owner 01,Synthetic change control for sterile filling process update.
CC-085,2025-09-13,2025-11-10,,assessment,Berlin Site,Production,Weighing,SOP-035,EQ-003,,False,True,QA Owner 02,Synthetic change control for weighing process update.
CC-086,2026-03-30,2026-04-29,2026-07-27,closed,Berlin Site,Packaging,Packaging,SOP-005|SOP-036|SOP-079,EQ-019|EQ-016,CSV-012,True,True,Packaging Owner 01,Synthetic change control for packaging process update.
CC-087,2026-01-30,2026-04-02,2026-05-31,closed,Berlin Site,Production,Cleaning,SOP-053,EQ-010,,False,False,QA Owner 02,Synthetic change control for cleaning process update.
CC-088,2025-12-05,2026-04-13,2026-05-04,closed,Basel Site,Production,Granulation,SOP-081,,,False,False,Packaging Owner 01,Synthetic change control for granulation process update.
CC-089,2025-11-25,2026-04-01,,open,Berlin Site,QC Lab,QC Release Testing,SOP-081|SOP-085,EQ-010|EQ-003,,False,False,QA Owner 02,Synthetic change control for qc release testing process update.
CC-090,2025-09-20,2026-01-29,,implementation,Basel Site,QA Operations,Supplier Qualification,SOP-042|SOP-004|SOP-087,,CSV-005,True,True,Packaging Owner 01,Synthetic change control for supplier qualification process update.
CC-091,2025-12-18,2026-02-24,,open,Berlin Site,QA Operations,Supplier Qualification,SOP-044|SOP-064|SOP-017,EQ-008|EQ-003,,False,True,QA Owner 02,Synthetic change control for supplier qualification process update.
CC-092,2026-03-21,2026-05-26,2026-05-01,closed,Basel Site,QC Lab,QC Release Testing,SOP-050|SOP-007,EQ-009,,False,True,Engineering Owner 01,Synthetic change control for qc release testing process update.
CC-093,2026-02-13,2026-06-18,,assessment,Berlin Site,Packaging,Packaging,SOP-081|SOP-034,EQ-008|EQ-014,CSV-008,True,True,Production Owner 02,Synthetic change control for packaging process update.
CC-094,2025-09-10,2026-01-04,2025-10-19,closed,Basel Site,Production,Cleaning,SOP-029,,,False,False,Packaging Owner 01,Synthetic change control for cleaning process update.
CC-095,2026-04-06,2026-06-22,2026-06-21,closed,Berlin Site,Production,Cleaning,SOP-094,EQ-002,CSV-009,True,True,Production Owner 02,Synthetic change control for cleaning process update.
CC-096,2026-03-10,2026-05-21,2026-05-07,closed,Basel Site,Production,Cleaning,SOP-025|SOP-096,EQ-012,,False,True,QA Owner 02,Synthetic change control for cleaning process update.
CC-097,2026-03-20,2026-05-11,2026-07-03,closed,Basel Site,Production,Sterile Filling,SOP-080,EQ-008|EQ-017,,False,True,QC Owner 01,Synthetic change control for sterile filling process update.
CC-098,2025-09-15,2026-01-26,2025-11-27,closed,Berlin Site,Production,Cleaning,SOP-067,,,False,False,Production Owner 02,Synthetic change control for cleaning process update.
CC-099,2026-02-15,2026-06-28,2026-06-21,closed,Berlin Site,QC Lab,QC Release Testing,SOP-041|SOP-097,,,False,False,Supplier Quality Owner 01,Synthetic change control for qc release testing process update.
CC-100,2025-07-05,2025-09-19,2025-10-27,closed,Berlin Site,Production,Weighing,SOP-025,EQ-010|EQ-011,,False,False,Packaging Owner 01,Synthetic change control for weighing process update.
CC-101,2026-03-16,2026-07-14,,implementation,Basel Site,Production,Weighing,SOP-083|SOP-014|SOP-053,,,False,False,QA Owner 01,Synthetic change control for weighing process update.
CC-102,2025-07-08,2025-08-11,2025-09-03,closed,Basel Site,Production,Weighing,SOP-070,EQ-004,,False,False,QC Owner 02,Synthetic change control for weighing process update.
CC-103,2025-11-29,2026-01-28,2026-02-06,closed,Basel Site,Production,Cleaning,SOP-032|SOP-072|SOP-062,,,False,False,Packaging Owner 01,Synthetic change control for cleaning process update.
CC-104,2025-11-29,2026-02-10,,assessment,Berlin Site,Packaging,Packaging,SOP-066|SOP-008|SOP-077,,,False,True,QA Owner 01,Synthetic change control for packaging process update.
CC-105,2025-08-27,2026-01-09,,open,Basel Site,Packaging,Packaging,SOP-070|SOP-042,,,False,False,QA Owner 02,Synthetic change control for packaging process update.
CC-106,2026-04-11,2026-08-04,,open,Basel Site,Engineering,Equipment Maintenance,SOP-042|SOP-003|SOP-014,,,False,False,QA Owner 02,Synthetic change control for equipment maintenance process update.
CC-107,2025-11-14,2025-12-14,2026-01-16,closed,Berlin Site,Production,Granulation,SOP-097|SOP-060,EQ-004,,False,True,Packaging Owner 01,Synthetic change control for granulation process update.
CC-108,2026-02-08,2026-05-26,2026-03-20,closed,Basel Site,Production,Cleaning,SOP-064|SOP-024|SOP-061,EQ-014,,False,False,Packaging Owner 01,Synthetic change control for cleaning process update.
CC-109,2025-10-16,2026-02-23,,assessment,Basel Site,Engineering,Equipment Maintenance,SOP-011|SOP-081,EQ-018,CSV-008,True,True,Production Owner 02,Synthetic change control for equipment maintenance process update.
CC-110,2026-03-21,2026-05-24,2026-05-10,closed,Basel Site,Packaging,Packaging,SOP-010|SOP-067,,,False,False,Engineering Owner 01,Synthetic change control for packaging process update.
CC-111,2026-03-07,2026-04-19,2026-05-23,closed,Basel Site,QA Operations,Supplier Qualification,SOP-005,EQ-004|EQ-008,,False,False,Packaging Owner 01,Synthetic change control for supplier qualification process update.
CC-112,2025-09-10,2025-12-22,2025-12-03,closed,Berlin Site,Packaging,Packaging,SOP-062|SOP-054|SOP-086,EQ-019,CSV-007,True,True,Packaging Owner 01,Synthetic change control for packaging process update.
CC-113,2025-08-20,2025-12-14,2025-10-14,closed,Berlin Site,QC Lab,QC Release Testing,SOP-081|SOP-036|SOP-080,,,False,True,Supplier Quality Owner 01,Synthetic change control for qc release testing process update.
CC-114,2026-01-29,2026-05-22,,implementation,Berlin Site,Engineering,Equipment Maintenance,SOP-031|SOP-063|SOP-068,,,False,False,Warehouse Owner 01,Synthetic change control for equipment maintenance process update.
CC-115,2026-01-31,2026-06-04,2026-05-06,closed,Berlin Site,QA Operations,Supplier Qualification,SOP-059|SOP-026,,,False,False,QA Owner 02,Synthetic change control for supplier qualification process update.
CC-116,2026-02-05,2026-05-25,2026-04-25,closed,Basel Site,Production,Granulation,SOP-007|SOP-002,EQ-013,CSV-006,True,True,Packaging Owner 01,Synthetic change control for granulation process update.
CC-117,2025-12-10,2026-02-15,2026-04-12,closed,Basel Site,Production,Granulation,SOP-083,,,False,False,Validation Owner 01,Synthetic change control for granulation process update.
CC-118,2025-09-03,2025-11-08,,implementation,Berlin Site,Production,Sterile Filling,SOP-021|SOP-057,,,False,False,Validation Owner 01,Synthetic change control for sterile filling process update.
CC-119,2025-08-14,2025-10-07,,open,Berlin Site,QC Lab,QC Release Testing,SOP-063|SOP-026|SOP-070,,,False,True,QA Owner 02,Synthetic change control for qc release testing process update.
CC-120,2025-12-20,2026-04-02,,assessment,Berlin Site,Production,Cleaning,SOP-058,EQ-006,,False,False,QA Owner 01,Synthetic change control for cleaning process update.
