deviation_id,opened_date,closed_date,due_date,status,severity,site,department,process,product,batch_id,equipment_id,supplier_id,sop_id,owner,short_description,root_cause_category,capa_id,recurrence_flag
DEV-001,2026-03-24,2026-04-14,2026-04-20,closed,major,Berlin Site,Packaging,Packaging,Product A,BATCH-2026-063,EQ-010,,SOP-061,Packaging Owner 01,Synthetic packaging deviation: label reconciliation or line clearance issue.,manual check gap,,True
DEV-002,2026-03-24,,2026-04-25,open,minor,Berlin Site,Packaging,Packaging,Product A,BATCH-2026-104,EQ-018,,SOP-008,Production Owner 01,Synthetic packaging deviation: label reconciliation or line clearance issue.,label reconciliation,CAPA-035,True
DEV-003,2026-03-26,,2026-05-01,open,major,Berlin Site,Packaging,Packaging,Product A,BATCH-2026-117,EQ-008,,SOP-090,QA Owner 01,Synthetic packaging deviation: label reconciliation or line clearance issue.,label reconciliation,,False
DEV-004,2026-03-24,,2026-05-07,in_progress,major,Basel Site,Packaging,Packaging,Product B,BATCH-2026-039,EQ-008,,SOP-057,Packaging Owner 01,Synthetic packaging deviation: label reconciliation or line clearance issue.,line clearance,,True
DEV-005,2026-03-30,,2026-05-12,in_progress,major,Berlin Site,Packaging,Packaging,Product B,BATCH-2026-017,EQ-020,,SOP-089,QA Owner 01,Synthetic packaging deviation: label reconciliation or line clearance issue.,label reconciliation,,True
DEV-006,2026-03-30,2026-05-09,2026-04-27,closed,major,Berlin Site,Packaging,Packaging,Product B,BATCH-2026-092,EQ-013,,SOP-054,Packaging Owner 01,Synthetic packaging deviation: label reconciliation or line clearance issue.,manual check gap,CAPA-009,True
DEV-007,2026-04-01,,2026-04-25,open,major,Basel Site,Packaging,Packaging,Product A,BATCH-2026-023,EQ-004,,SOP-010,Production Owner 01,Synthetic packaging deviation: label reconciliation or line clearance issue.,manual check gap,,False
DEV-008,2026-03-30,,2026-04-23,open,major,Berlin Site,Packaging,Packaging,Product C,BATCH-2026-116,EQ-012,,SOP-002,Production Owner 01,Synthetic packaging deviation: label reconciliation or line clearance issue.,manual check gap,,False
DEV-009,2026-04-02,,2026-05-01,open,minor,Basel Site,Packaging,Packaging,Product A,BATCH-2026-060,EQ-018,,SOP-089,QA Owner 01,Synthetic packaging deviation: label reconciliation or line clearance issue.,manual check gap,,True
DEV-010,2026-04-01,2026-04-25,2026-04-22,closed,minor,Berlin Site,Packaging,Packaging,Product B,BATCH-2026-077,EQ-001,,SOP-062,Packaging Owner 01,Synthetic packaging deviation: label reconciliation or line clearance issue.,label reconciliation,CAPA-030,False
DEV-011,2026-04-08,,2026-05-08,in_progress,major,Basel Site,Packaging,Packaging,Product C,BATCH-2026-087,EQ-011,,SOP-075,Packaging Owner 01,Synthetic packaging deviation: label reconciliation or line clearance issue.,manual check gap,,False
DEV-012,2026-04-07,,2026-05-17,in_progress,minor,Berlin Site,Packaging,Packaging,Product A,BATCH-2026-003,EQ-007,,SOP-096,Production Owner 01,Synthetic packaging deviation: label reconciliation or line clearance issue.,line clearance,,False
DEV-013,2026-04-08,,2026-05-18,open,minor,Berlin Site,Packaging,Packaging,Product B,BATCH-2026-095,EQ-008,,SOP-046,QA Owner 01,Synthetic packaging deviation: label reconciliation or line clearance issue.,label reconciliation,,False
DEV-014,2026-04-08,,2026-05-05,in_progress,minor,Basel Site,Packaging,Packaging,Product A,BATCH-2026-109,EQ-016,,SOP-009,QA Owner 01,Synthetic packaging deviation: label reconciliation or line clearance issue.,line clearance,CAPA-004,True
DEV-015,2026-04-08,,2026-05-07,in_progress,minor,Basel Site,Packaging,Packaging,Product C,BATCH-2026-114,EQ-007,,SOP-061,QA Owner 01,Synthetic packaging deviation: label reconciliation or line clearance issue.,manual check gap,CAPA-024,True
DEV-016,2026-04-09,,2026-05-06,in_progress,minor,Basel Site,Packaging,Packaging,Product A,BATCH-2026-040,EQ-004,,SOP-070,Packaging Owner 01,Synthetic packaging deviation: label reconciliation or line clearance issue.,manual check gap,,False
DEV-017,2026-04-06,,2026-05-08,open,major,Berlin Site,Packaging,Packaging,Product C,BATCH-2026-082,EQ-018,,SOP-051,Packaging Owner 01,Synthetic packaging deviation: label reconciliation or line clearance issue.,line clearance,,False
DEV-018,2026-04-08,,2026-05-21,open,major,Basel Site,Packaging,Packaging,Product B,BATCH-2026-051,EQ-005,,SOP-094,Production Owner 01,Synthetic packaging deviation: label reconciliation or line clearance issue.,manual check gap,CAPA-048,True
DEV-019,2026-04-15,,2026-05-30,in_progress,minor,Basel Site,Packaging,Packaging,Product C,BATCH-2026-108,EQ-014,,SOP-023,Packaging Owner 01,Synthetic packaging deviation: label reconciliation or line clearance issue.,line clearance,CAPA-014,False
DEV-020,2026-04-14,,2026-05-11,in_progress,minor,Basel Site,Packaging,Packaging,Product B,BATCH-2026-064,EQ-014,,SOP-023,Packaging Owner 01,Synthetic packaging deviation: label reconciliation or line clearance issue.,line clearance,CAPA-014,False
DEV-021,2026-04-15,,2026-05-21,in_progress,major,Berlin Site,Packaging,Packaging,Product B,BATCH-2026-167,EQ-014,,SOP-023,Packaging Owner 01,Synthetic packaging deviation: label reconciliation or line clearance issue.,line clearance,CAPA-014,True
DEV-022,2026-04-13,,2026-05-27,in_progress,minor,Berlin Site,Packaging,Packaging,Product C,BATCH-2026-014,EQ-016,,SOP-026,Packaging Owner 01,Synthetic packaging deviation: label reconciliation or line clearance issue.,manual check gap,,True
DEV-023,2026-04-13,,2026-05-19,in_progress,minor,Berlin Site,Packaging,Packaging,Product A,BATCH-2026-066,EQ-019,,SOP-014,QA Owner 01,Synthetic packaging deviation: label reconciliation or line clearance issue.,label reconciliation,CAPA-078,False
DEV-024,2026-04-15,,2026-05-05,open,minor,Berlin Site,Packaging,Packaging,Product C,BATCH-2026-103,EQ-014,,SOP-091,Packaging Owner 01,Synthetic packaging deviation: label reconciliation or line clearance issue.,manual check gap,,False
DEV-025,2026-04-15,,2026-05-11,open,minor,Berlin Site,Packaging,Packaging,Product A,BATCH-2026-073,EQ-005,,SOP-081,QA Owner 01,Synthetic packaging deviation: label reconciliation or line clearance issue.,line clearance,,False
DEV-026,2026-04-13,,2026-05-09,in_progress,major,Berlin Site,Packaging,Packaging,Product C,BATCH-2026-140,EQ-008,,SOP-084,Packaging Owner 01,Synthetic packaging deviation: label reconciliation or line clearance issue.,manual check gap,,True
DEV-027,2026-04-13,,2026-05-16,in_progress,minor,Berlin Site,Packaging,Packaging,Product B,BATCH-2026-121,EQ-003,,SOP-013,QA Owner 01,Synthetic packaging deviation: label reconciliation or line clearance issue.,manual check gap,,True
DEV-028,2026-04-14,,2026-05-10,in_progress,minor,Basel Site,Packaging,Packaging,Product C,BATCH-2026-062,EQ-018,,SOP-087,QA Owner 01,Synthetic packaging deviation: label reconciliation or line clearance issue.,label reconciliation,,False
DEV-029,2026-04-21,,2026-05-22,in_progress,minor,Berlin Site,Packaging,Packaging,Product B,BATCH-2026-159,EQ-014,,SOP-023,Packaging Owner 01,Synthetic packaging deviation: label reconciliation or line clearance issue.,line clearance,CAPA-014,True
DEV-030,2026-04-23,,2026-05-23,in_progress,minor,Basel Site,Packaging,Packaging,Product B,BATCH-2026-124,EQ-014,,SOP-023,Packaging Owner 01,Synthetic packaging deviation: label reconciliation or line clearance issue.,line clearance,CAPA-014,False
DEV-031,2026-04-22,,2026-05-31,open,minor,Berlin Site,Packaging,Packaging,Product A,BATCH-2026-087,EQ-014,,SOP-023,Production Owner 01,Synthetic packaging deviation: label reconciliation or line clearance issue.,line clearance,CAPA-014,False
DEV-032,2026-04-23,2026-05-24,2026-05-19,closed,major,Basel Site,Packaging,Packaging,Product A,BATCH-2026-023,EQ-013,,SOP-050,QA Owner 01,Synthetic packaging deviation: label reconciliation or line clearance issue.,manual check gap,CAPA-041,False
DEV-033,2026-04-20,,2026-06-04,in_progress,major,Berlin Site,Packaging,Packaging,Product B,BATCH-2026-007,EQ-010,,SOP-085,Production Owner 01,Synthetic packaging deviation: label reconciliation or line clearance issue.,line clearance,,False
DEV-034,2026-04-22,2026-05-25,2026-06-05,closed,minor,Berlin Site,Packaging,Packaging,Product A,BATCH-2026-055,EQ-009,,SOP-015,Packaging Owner 01,Synthetic packaging deviation: label reconciliation or line clearance issue.,label reconciliation,CAPA-035,False
DEV-035,2026-04-20,2026-05-04,2026-05-29,closed,minor,Basel Site,Packaging,Packaging,Product A,BATCH-2026-164,EQ-020,,SOP-035,Packaging Owner 01,Synthetic packaging deviation: label reconciliation or line clearance issue.,line clearance,,False
DEV-036,2026-04-21,,2026-05-30,open,major,Basel Site,Packaging,Packaging,Product A,BATCH-2026-133,EQ-004,,SOP-072,Packaging Owner 01,Synthetic packaging deviation: label reconciliation or line clearance issue.,label reconciliation,CAPA-032,True
DEV-037,2026-04-20,,2026-06-04,open,minor,Berlin Site,Packaging,Packaging,Product C,BATCH-2026-004,EQ-017,,SOP-097,Packaging Owner 01,Synthetic packaging deviation: label reconciliation or line clearance issue.,line clearance,,False
DEV-038,2026-04-20,,2026-06-01,in_progress,minor,Berlin Site,Packaging,Packaging,Product B,BATCH-2026-038,EQ-017,,SOP-070,Packaging Owner 01,Synthetic packaging deviation: label reconciliation or line clearance issue.,manual check gap,,False
DEV-039,2026-04-21,,2026-05-26,in_progress,minor,Berlin Site,Packaging,Packaging,Product C,BATCH-2026-006,EQ-018,,SOP-014,Packaging Owner 01,Synthetic packaging deviation: label reconciliation or line clearance issue.,label reconciliation,CAPA-046,True
DEV-040,2026-04-20,,2026-05-28,open,major,Basel Site,Packaging,Packaging,Product B,BATCH-2026-064,EQ-017,,SOP-062,Packaging Owner 01,Synthetic packaging deviation: label reconciliation or line clearance issue.,line clearance,,False
DEV-041,2026-04-30,,2026-05-26,in_progress,major,Basel Site,Packaging,Packaging,Product A,BATCH-2026-039,EQ-014,,SOP-023,Production Owner 01,Synthetic packaging deviation: label reconciliation or line clearance issue.,line clearance,CAPA-014,False
DEV-042,2026-04-28,,2026-06-10,open,critical,Basel Site,Packaging,Packaging,Product A,BATCH-2026-022,EQ-014,,SOP-023,Packaging Owner 01,Synthetic packaging deviation: label reconciliation or line clearance issue.,line clearance,CAPA-014,False
DEV-043,2026-04-29,,2026-05-28,in_progress,major,Berlin Site,Packaging,Packaging,Product C,BATCH-2026-085,EQ-014,,SOP-023,QA Owner 01,Synthetic packaging deviation: label reconciliation or line clearance issue.,line clearance,CAPA-014,True
DEV-044,2026-04-28,,2026-06-04,open,major,Berlin Site,Packaging,Packaging,Product A,BATCH-2026-072,EQ-015,,SOP-065,Packaging Owner 01,Synthetic packaging deviation: label reconciliation or line clearance issue.,line clearance,,False
DEV-045,2026-04-30,,2026-05-21,in_progress,major,Berlin Site,Packaging,Packaging,Product A,BATCH-2026-047,EQ-006,,SOP-046,Packaging Owner 01,Synthetic packaging deviation: label reconciliation or line clearance issue.,manual check gap,CAPA-042,True
DEV-046,2026-04-27,,2026-05-20,open,minor,Basel Site,Packaging,Packaging,Product A,BATCH-2026-173,EQ-019,,SOP-044,QA Owner 01,Synthetic packaging deviation: label reconciliation or line clearance issue.,line clearance,CAPA-040,False
DEV-047,2026-04-30,,2026-05-28,in_progress,major,Basel Site,Packaging,Packaging,Product A,BATCH-2026-155,EQ-001,,SOP-092,QA Owner 01,Synthetic packaging deviation: label reconciliation or line clearance issue.,label reconciliation,CAPA-037,False
DEV-048,2026-04-28,,2026-05-20,in_progress,minor,Berlin Site,Packaging,Packaging,Product C,BATCH-2026-162,EQ-011,,SOP-022,Packaging Owner 01,Synthetic packaging deviation: label reconciliation or line clearance issue.,line clearance,,True
DEV-049,2026-04-30,,2026-06-07,in_progress,major,Basel Site,Packaging,Packaging,Product B,BATCH-2026-129,EQ-014,,SOP-056,QA Owner 01,Synthetic packaging deviation: label reconciliation or line clearance issue.,manual check gap,,True
DEV-050,2026-04-30,,2026-05-21,open,minor,Basel Site,Packaging,Packaging,Product C,BATCH-2026-026,EQ-011,,SOP-073,Packaging Owner 01,Synthetic packaging deviation: label reconciliation or line clearance issue.,manual check gap,,True
DEV-051,2026-04-27,,2026-06-03,in_progress,major,Berlin Site,Packaging,Packaging,Product B,BATCH-2026-103,EQ-009,,SOP-067,Packaging Owner 01,Synthetic packaging deviation: label reconciliation or line clearance issue.,label reconciliation,,True
DEV-052,2026-04-27,2026-06-04,2026-06-08,closed,minor,Berlin Site,Packaging,Packaging,Product A,BATCH-2026-071,EQ-019,,SOP-061,Packaging Owner 01,Synthetic packaging deviation: label reconciliation or line clearance issue.,label reconciliation,CAPA-017,True
DEV-053,2026-04-27,,2026-05-18,open,minor,Berlin Site,Packaging,Packaging,Product A,BATCH-2026-060,EQ-008,,SOP-078,QA Owner 01,Synthetic packaging deviation: label reconciliation or line clearance issue.,label reconciliation,,False
DEV-054,2026-04-29,,2026-05-23,in_progress,major,Basel Site,Packaging,Packaging,Product C,BATCH-2026-070,EQ-017,,SOP-100,Packaging Owner 01,Synthetic packaging deviation: label reconciliation or line clearance issue.,manual check gap,CAPA-056,True
DEV-055,2026-01-11,,2026-02-03,in_progress,critical,Basel Site,Production,Sterile Filling,Product C,BATCH-2026-082,EQ-013,,SOP-076,Production Owner 02,Synthetic sterile filling deviation: aseptic intervention or environmental monitoring concern.,aseptic intervention,,False
DEV-056,2026-03-07,,2026-04-04,in_progress,critical,Berlin Site,Production,Sterile Filling,Product C,BATCH-2026-129,EQ-001,,SOP-028,Production Owner 02,Synthetic sterile filling deviation: aseptic intervention or environmental monitoring concern.,procedural adherence,,False
DEV-057,2025-12-14,2026-01-22,2026-01-22,closed,major,Berlin Site,Production,Sterile Filling,Product B,BATCH-2026-153,EQ-012,,SOP-033,QA Owner 02,Synthetic sterile filling deviation: aseptic intervention or environmental monitoring concern.,procedural adherence,CAPA-004,False
DEV-058,2026-01-15,2026-02-08,2026-02-23,closed,major,Basel Site,Production,Sterile Filling,Product A,BATCH-2026-077,EQ-005,,SOP-066,Validation Owner 01,Synthetic sterile filling deviation: aseptic intervention or environmental monitoring concern.,procedural adherence,CAPA-035,False
DEV-059,2025-12-28,2026-01-09,2026-01-28,closed,critical,Berlin Site,Production,Sterile Filling,Product A,BATCH-2026-159,EQ-006,,SOP-023,Production Owner 02,Synthetic sterile filling deviation: aseptic intervention or environmental monitoring concern.,aseptic intervention,CAPA-049,True
DEV-060,2026-01-06,2026-02-03,2026-02-20,closed,critical,Berlin Site,Production,Sterile Filling,Product A,BATCH-2026-085,EQ-012,,SOP-036,QA Owner 02,Synthetic sterile filling deviation: aseptic intervention or environmental monitoring concern.,procedural adherence,,False
DEV-061,2026-03-16,,2026-04-23,open,critical,Berlin Site,Production,Sterile Filling,Product A,BATCH-2026-065,EQ-012,,SOP-014,Production Owner 02,Synthetic sterile filling deviation: aseptic intervention or environmental monitoring concern.,environmental monitoring,CAPA-021,False
DEV-062,2026-03-22,,2026-05-01,open,critical,Basel Site,Production,Sterile Filling,Product B,BATCH-2026-061,EQ-010,,SOP-029,Production Owner 02,Synthetic sterile filling deviation: aseptic intervention or environmental monitoring concern.,aseptic intervention,CAPA-036,False
DEV-063,2026-03-05,,2026-03-25,in_progress,major,Berlin Site,Production,Sterile Filling,Product A,BATCH-2026-085,EQ-006,,SOP-073,QA Owner 02,Synthetic sterile filling deviation: aseptic intervention or environmental monitoring concern.,aseptic intervention,CAPA-062,False
DEV-064,2026-04-22,,2026-05-24,in_progress,major,Basel Site,Production,Sterile Filling,Product B,BATCH-2026-115,EQ-016,,SOP-083,QA Owner 02,Synthetic sterile filling deviation: aseptic intervention or environmental monitoring concern.,procedural adherence,,False
DEV-065,2025-12-27,,2026-01-19,in_progress,critical,Berlin Site,Production,Sterile Filling,Product C,BATCH-2026-099,EQ-004,,SOP-080,Production Owner 02,Synthetic sterile filling deviation: aseptic intervention or environmental monitoring concern.,environmental monitoring,CAPA-050,False
DEV-066,2026-03-24,,2026-05-04,in_progress,major,Berlin Site,Production,Sterile Filling,Product C,BATCH-2026-165,EQ-015,,SOP-061,QA Owner 02,Synthetic sterile filling deviation: aseptic intervention or environmental monitoring concern.,environmental monitoring,,False
DEV-067,2025-12-23,,2026-01-26,open,critical,Basel Site,Production,Sterile Filling,Product B,BATCH-2026-048,EQ-008,,SOP-035,QA Owner 02,Synthetic sterile filling deviation: aseptic intervention or environmental monitoring concern.,environmental monitoring,,False
DEV-068,2025-11-15,2025-12-05,2025-12-16,closed,critical,Berlin Site,Production,Sterile Filling,Product C,BATCH-2026-138,EQ-006,,SOP-052,Validation Owner 01,Synthetic sterile filling deviation: aseptic intervention or environmental monitoring concern.,procedural adherence,,False
DEV-069,2025-11-21,2025-12-29,2025-12-30,closed,major,Basel Site,Production,Sterile Filling,Product B,BATCH-2026-162,EQ-006,,SOP-040,Validation Owner 01,Synthetic sterile filling deviation: aseptic intervention or environmental monitoring concern.,environmental monitoring,,False
DEV-070,2026-02-09,,2026-03-02,in_progress,critical,Berlin Site,Production,Sterile Filling,Product B,BATCH-2026-061,EQ-009,,SOP-084,QA Owner 02,Synthetic sterile filling deviation: aseptic intervention or environmental monitoring concern.,aseptic intervention,,False
DEV-071,2025-11-29,,2025-12-22,in_progress,major,Berlin Site,Production,Sterile Filling,Product A,BATCH-2026-022,EQ-004,,SOP-035,QA Owner 02,Synthetic sterile filling deviation: aseptic intervention or environmental monitoring concern.,environmental monitoring,,False
DEV-072,2025-11-08,,2025-12-21,open,major,Basel Site,Production,Sterile Filling,Product A,BATCH-2026-094,EQ-004,,SOP-021,Validation Owner 01,Synthetic sterile filling deviation: aseptic intervention or environmental monitoring concern.,aseptic intervention,CAPA-007,False
DEV-073,2026-01-19,2026-02-08,2026-02-13,closed,major,Berlin Site,Production,Sterile Filling,Product C,BATCH-2026-161,EQ-009,,SOP-064,Validation Owner 01,Synthetic sterile filling deviation: aseptic intervention or environmental monitoring concern.,aseptic intervention,CAPA-026,True
DEV-074,2026-04-11,2026-04-23,2026-05-09,closed,major,Berlin Site,Production,Sterile Filling,Product A,BATCH-2026-175,EQ-007,,SOP-098,Validation Owner 01,Synthetic sterile filling deviation: aseptic intervention or environmental monitoring concern.,environmental monitoring,,True
DEV-075,2026-02-17,,2026-03-31,in_progress,critical,Basel Site,Production,Sterile Filling,Product B,BATCH-2026-029,EQ-015,,SOP-002,Validation Owner 01,Synthetic sterile filling deviation: aseptic intervention or environmental monitoring concern.,aseptic intervention,,False
DEV-076,2026-02-03,2026-02-16,2026-03-11,closed,major,Berlin Site,Production,Sterile Filling,Product A,BATCH-2026-138,EQ-003,,SOP-038,QA Owner 02,Synthetic sterile filling deviation: aseptic intervention or environmental monitoring concern.,procedural adherence,CAPA-060,False
DEV-077,2026-02-22,2026-03-17,2026-03-31,closed,major,Berlin Site,Production,Sterile Filling,Product A,BATCH-2026-024,EQ-007,,SOP-004,Production Owner 02,Synthetic sterile filling deviation: aseptic intervention or environmental monitoring concern.,environmental monitoring,CAPA-018,False
DEV-078,2025-12-19,,2026-01-20,in_progress,major,Basel Site,Production,Sterile Filling,Product A,BATCH-2026-013,EQ-007,,SOP-048,QA Owner 02,Synthetic sterile filling deviation: aseptic intervention or environmental monitoring concern.,aseptic intervention,,False
DEV-079,2026-01-10,2026-02-15,2026-02-08,closed,major,Berlin Site,QC Lab,QC Release Testing,Product C,BATCH-2026-062,EQ-017,,SOP-092,QC Owner 02,Synthetic QC Lab OOS-related deviation for release testing trend review.,instrument issue,CAPA-048,True
DEV-080,2026-02-10,2026-02-24,2026-03-02,closed,major,Berlin Site,QC Lab,QC Release Testing,Product A,BATCH-2026-176,EQ-018,,SOP-024,QC Owner 02,Synthetic QC Lab OOT-related deviation for release testing trend review.,analytical method,CAPA-019,True
