deviation_id,opened_date,closed_date,due_date,status,severity,site,department,process,product,batch_id,equipment_id,supplier_id,sop_id,owner,short_description,root_cause_category,capa_id,recurrence_flag
DEV-081,2025-10-14,,2025-11-15,in_progress,minor,Basel Site,QC Lab,QC Release Testing,Product B,BATCH-2026-173,EQ-003,,SOP-094,QC Owner 01,Synthetic QC Lab OOS-related deviation for release testing trend review.,sample handling,,True
DEV-082,2026-02-24,2026-03-20,2026-03-22,closed,major,Berlin Site,QC Lab,QC Release Testing,Product C,BATCH-2026-115,EQ-010,,SOP-060,QA Owner 01,Synthetic QC Lab OOT-related deviation for release testing trend review.,analytical method,,True
DEV-083,2025-11-30,2026-01-07,2026-01-13,closed,minor,Basel Site,QC Lab,QC Release Testing,Product C,BATCH-2026-017,EQ-018,,SOP-080,QC Owner 01,Synthetic QC Lab OOS-related deviation for release testing trend review.,analytical method,CAPA-018,True
DEV-084,2025-10-17,2025-11-02,2025-11-16,closed,minor,Berlin Site,QC Lab,QC Release Testing,Product C,BATCH-2026-089,EQ-006,,SOP-026,QA Owner 01,Synthetic QC Lab OOT-related deviation for release testing trend review.,sample handling,,True
DEV-085,2025-10-10,2025-10-30,2025-11-20,closed,major,Berlin Site,QC Lab,QC Release Testing,Product A,BATCH-2026-147,EQ-020,,SOP-054,QC Owner 02,Synthetic QC Lab OOS-related deviation for release testing trend review.,analytical method,,True
DEV-086,2025-11-01,2025-12-08,2025-12-15,closed,minor,Berlin Site,QC Lab,QC Release Testing,Product C,BATCH-2026-080,EQ-002,,SOP-059,QC Owner 01,Synthetic QC Lab OOT-related deviation for release testing trend review.,instrument issue,,True
DEV-087,2026-02-23,,2026-03-17,open,minor,Basel Site,QC Lab,QC Release Testing,Product B,BATCH-2026-012,EQ-002,,SOP-007,QC Owner 01,Synthetic QC Lab OOS-related deviation for release testing trend review.,analytical method,,True
DEV-088,2025-10-19,,2025-11-29,open,major,Basel Site,QC Lab,QC Release Testing,Product C,BATCH-2026-092,EQ-005,,SOP-061,QC Owner 02,Synthetic QC Lab OOT-related deviation for release testing trend review.,analytical method,CAPA-012,True
DEV-089,2025-11-14,2025-12-27,2025-12-25,closed,major,Basel Site,QC Lab,QC Release Testing,Product C,BATCH-2026-113,EQ-009,,SOP-071,QC Owner 02,Synthetic QC Lab OOS-related deviation for release testing trend review.,instrument issue,,True
DEV-090,2025-11-17,,2025-12-13,in_progress,major,Berlin Site,QC Lab,QC Release Testing,Product A,BATCH-2026-039,EQ-010,,SOP-098,QC Owner 02,Synthetic QC Lab OOT-related deviation for release testing trend review.,instrument issue,,True
DEV-091,2026-04-05,,2026-05-02,in_progress,minor,Berlin Site,QC Lab,QC Release Testing,Product A,BATCH-2026-101,EQ-007,,SOP-048,QC Owner 02,Synthetic QC Lab OOS-related deviation for release testing trend review.,analytical method,,True
DEV-092,2025-12-23,2025-12-29,2026-01-29,closed,minor,Berlin Site,QC Lab,QC Release Testing,Product A,BATCH-2026-003,EQ-011,,SOP-018,QA Owner 01,Synthetic QC Lab OOT-related deviation for release testing trend review.,instrument issue,,True
DEV-093,2026-03-28,,2026-04-27,in_progress,major,Basel Site,QC Lab,QC Release Testing,Product C,BATCH-2026-123,EQ-017,,SOP-001,QC Owner 01,Synthetic QC Lab OOS-related deviation for release testing trend review.,analytical method,,True
DEV-094,2025-12-21,2026-01-25,2026-01-22,closed,major,Berlin Site,QC Lab,QC Release Testing,Product A,BATCH-2026-101,EQ-017,,SOP-065,QC Owner 02,Synthetic QC Lab OOT-related deviation for release testing trend review.,instrument issue,,True
DEV-095,2026-02-23,2026-03-22,2026-03-19,closed,major,Basel Site,QC Lab,QC Release Testing,Product C,BATCH-2026-170,EQ-020,,SOP-034,QA Owner 01,Synthetic QC Lab OOS-related deviation for release testing trend review.,instrument issue,CAPA-076,True
DEV-096,2026-02-24,2026-03-02,2026-03-18,closed,major,Berlin Site,QC Lab,QC Release Testing,Product A,BATCH-2026-079,EQ-017,,SOP-061,QC Owner 02,Synthetic QC Lab OOT-related deviation for release testing trend review.,instrument issue,CAPA-024,True
DEV-097,2025-12-29,2026-02-07,2026-02-09,closed,critical,Basel Site,QC Lab,QC Release Testing,Product A,BATCH-2026-043,EQ-007,,SOP-091,QC Owner 01,Synthetic QC Lab OOS-related deviation for release testing trend review.,analytical method,,True
DEV-098,2026-02-06,2026-03-08,2026-02-27,closed,major,Berlin Site,QC Lab,QC Release Testing,Product C,BATCH-2026-050,EQ-017,,SOP-007,QC Owner 01,Synthetic QC Lab OOT-related deviation for release testing trend review.,sample handling,CAPA-063,True
DEV-099,2026-01-20,2026-02-04,2026-02-21,closed,major,Basel Site,QC Lab,QC Release Testing,Product A,BATCH-2026-041,EQ-018,,SOP-021,QC Owner 01,Synthetic QC Lab OOS-related deviation for release testing trend review.,instrument issue,,True
DEV-100,2026-02-13,2026-02-28,2026-03-11,closed,major,Berlin Site,QC Lab,QC Release Testing,Product C,BATCH-2026-147,EQ-016,,SOP-084,QA Owner 01,Synthetic QC Lab OOT-related deviation for release testing trend review.,instrument issue,CAPA-002,True
DEV-101,2026-02-18,2026-03-14,2026-04-01,closed,minor,Basel Site,QC Lab,QC Release Testing,Product B,BATCH-2026-037,EQ-008,,SOP-017,QC Owner 01,Synthetic QC Lab OOS-related deviation for release testing trend review.,analytical method,,True
DEV-102,2025-12-24,2026-01-27,2026-02-07,closed,critical,Basel Site,QC Lab,QC Release Testing,Product A,BATCH-2026-066,EQ-008,,SOP-076,QC Owner 02,Synthetic QC Lab OOT-related deviation for release testing trend review.,instrument issue,CAPA-002,True
DEV-103,2025-10-01,,2025-10-27,in_progress,minor,Berlin Site,QC Lab,QC Release Testing,Product A,BATCH-2026-130,EQ-004,,SOP-097,QA Owner 01,Synthetic QC Lab OOS-related deviation for release testing trend review.,analytical method,CAPA-031,True
DEV-104,2025-10-08,2025-11-11,2025-11-17,closed,critical,Basel Site,QC Lab,QC Release Testing,Product C,BATCH-2026-043,EQ-001,,SOP-091,QC Owner 01,Synthetic QC Lab OOT-related deviation for release testing trend review.,analytical method,CAPA-054,True
DEV-105,2026-02-14,2026-03-04,2026-03-31,closed,major,Basel Site,QC Lab,QC Release Testing,Product B,BATCH-2026-054,EQ-017,,SOP-085,QC Owner 02,Synthetic QC Lab OOS-related deviation for release testing trend review.,instrument issue,CAPA-032,True
DEV-106,2026-01-11,2026-02-08,2026-02-06,closed,critical,Basel Site,QC Lab,QC Release Testing,Product C,BATCH-2026-097,EQ-013,,SOP-067,QA Owner 01,Synthetic QC Lab OOT-related deviation for release testing trend review.,analytical method,,True
DEV-107,2026-02-16,2026-03-14,2026-03-27,closed,minor,Berlin Site,QC Lab,QC Release Testing,Product A,BATCH-2026-171,EQ-015,,SOP-049,QA Owner 01,Synthetic QC Lab OOS-related deviation for release testing trend review.,analytical method,CAPA-025,True
DEV-108,2026-02-26,2026-03-05,2026-04-06,closed,major,Basel Site,QC Lab,QC Release Testing,Product C,BATCH-2026-073,EQ-002,,SOP-100,QC Owner 01,Synthetic QC Lab OOT-related deviation for release testing trend review.,analytical method,,True
DEV-109,2026-02-04,2026-03-12,2026-03-03,closed,minor,Berlin Site,QC Lab,QC Release Testing,Product A,BATCH-2026-100,EQ-014,,SOP-096,QC Owner 01,Synthetic QC Lab OOS-related deviation for release testing trend review.,sample handling,CAPA-012,True
DEV-110,2025-11-29,2026-01-03,2026-01-01,closed,major,Basel Site,QC Lab,QC Release Testing,Product A,BATCH-2026-137,EQ-004,,SOP-063,QC Owner 02,Synthetic QC Lab OOT-related deviation for release testing trend review.,sample handling,,True
DEV-111,2025-10-06,,2025-11-08,in_progress,major,Berlin Site,QC Lab,QC Release Testing,Product C,BATCH-2026-057,EQ-001,,SOP-049,QC Owner 01,Synthetic QC Lab OOS-related deviation for release testing trend review.,instrument issue,,True
DEV-112,2025-11-07,2025-12-04,2025-11-29,closed,major,Basel Site,QC Lab,QC Release Testing,Product B,BATCH-2026-074,EQ-020,,SOP-084,QC Owner 02,Synthetic QC Lab OOT-related deviation for release testing trend review.,sample handling,,True
DEV-113,2025-10-06,2025-10-15,2025-11-13,closed,major,Basel Site,QC Lab,QC Release Testing,Product A,BATCH-2026-089,EQ-016,,SOP-085,QC Owner 01,Synthetic QC Lab OOS-related deviation for release testing trend review.,analytical method,,True
DEV-114,2025-09-29,2025-10-29,2025-10-19,closed,critical,Basel Site,QC Lab,QC Release Testing,Product A,BATCH-2026-177,EQ-015,,SOP-072,QA Owner 01,Synthetic QC Lab OOT-related deviation for release testing trend review.,instrument issue,,True
DEV-115,2025-10-20,2025-10-31,2025-12-02,closed,minor,Basel Site,QC Lab,QC Release Testing,Product A,BATCH-2026-126,EQ-002,,SOP-003,QA Owner 01,Synthetic QC Lab OOS-related deviation for release testing trend review.,sample handling,CAPA-031,True
DEV-116,2026-02-02,,2026-03-13,in_progress,major,Basel Site,QC Lab,QC Release Testing,Product A,BATCH-2026-082,EQ-002,,SOP-047,QC Owner 02,Synthetic QC Lab OOT-related deviation for release testing trend review.,analytical method,CAPA-042,True
DEV-117,2025-10-23,2025-11-28,2025-11-30,closed,minor,Berlin Site,QC Lab,QC Release Testing,Product B,BATCH-2026-050,EQ-002,,SOP-085,QA Owner 01,Synthetic QC Lab OOS-related deviation for release testing trend review.,instrument issue,,True
DEV-118,2026-03-01,2026-03-07,2026-04-01,closed,major,Berlin Site,QC Lab,QC Release Testing,Product A,BATCH-2026-162,EQ-009,,SOP-074,QC Owner 01,Synthetic QC Lab OOT-related deviation for release testing trend review.,instrument issue,,True
DEV-119,2025-12-31,2026-01-06,2026-01-29,closed,critical,Basel Site,QC Lab,QC Release Testing,Product B,BATCH-2026-146,EQ-005,,SOP-039,QC Owner 01,Synthetic QC Lab OOS-related deviation for release testing trend review.,analytical method,,True
DEV-120,2025-09-24,,2025-10-18,in_progress,major,Basel Site,QC Lab,QC Release Testing,Product C,BATCH-2026-082,EQ-008,,SOP-086,QC Owner 02,Synthetic QC Lab OOT-related deviation for release testing trend review.,analytical method,,True
DEV-121,2026-04-10,,2026-05-23,in_progress,major,Berlin Site,QC Lab,QC Release Testing,Product B,BATCH-2026-166,EQ-012,,SOP-085,QC Owner 01,Synthetic QC Lab OOS-related deviation for release testing trend review.,sample handling,CAPA-064,True
DEV-122,2025-11-16,2025-12-09,2025-12-29,closed,major,Basel Site,QC Lab,QC Release Testing,Product A,BATCH-2026-037,EQ-012,,SOP-007,QC Owner 01,Synthetic QC Lab OOT-related deviation for release testing trend review.,sample handling,,True
DEV-123,2025-12-23,,2026-01-20,in_progress,major,Berlin Site,QC Lab,QC Release Testing,Product C,BATCH-2026-130,EQ-005,,SOP-083,QC Owner 02,Synthetic QC Lab OOS-related deviation for release testing trend review.,analytical method,,True
DEV-124,2025-05-01,2025-05-07,2025-05-25,closed,minor,Basel Site,Production,Weighing,Product C,BATCH-2026-179,EQ-004,,SOP-054,Validation Owner 01,Synthetic weighing deviation requiring documented QA review.,documentation gap,,False
DEV-125,2025-08-15,2025-09-11,2025-09-22,closed,major,Berlin Site,Production,Granulation,Product A,BATCH-2026-022,EQ-010,,SOP-036,QA Owner 01,Synthetic granulation deviation requiring documented QA review.,supplier documentation,,False
DEV-126,2025-11-05,2025-11-27,2025-12-11,closed,minor,Basel Site,Engineering,Equipment Maintenance,Product B,BATCH-2026-037,EQ-012,,SOP-087,QA Owner 02,Synthetic equipment maintenance deviation requiring documented QA review.,SOP interpretation,,False
DEV-127,2026-01-19,,2026-02-23,in_progress,major,Berlin Site,Production,Cleaning,Product A,BATCH-2026-043,EQ-004,,SOP-044,Production Owner 01,Synthetic cleaning deviation requiring documented QA review.,supplier documentation,,False
DEV-128,2025-05-08,2025-05-23,2025-06-10,closed,major,Basel Site,Engineering,Equipment Maintenance,Product C,BATCH-2026-074,EQ-004,,SOP-062,Engineering Owner 01,Synthetic equipment maintenance deviation requiring documented QA review.,SOP interpretation,CAPA-055,False
DEV-129,2026-01-15,2026-01-28,2026-02-05,closed,major,Basel Site,Production,Cleaning,Product A,BATCH-2026-077,EQ-005,,SOP-066,QA Owner 01,Synthetic cleaning deviation requiring documented QA review.,SOP interpretation,,True
DEV-130,2026-01-27,,2026-02-20,open,minor,Berlin Site,Production,Granulation,Product C,BATCH-2026-027,EQ-003,,SOP-019,QA Owner 01,Synthetic granulation deviation requiring documented QA review.,equipment setup,,False
DEV-131,2025-09-08,,2025-10-03,open,major,Berlin Site,Production,Granulation,Product A,BATCH-2026-095,EQ-017,,SOP-080,Validation Owner 01,Synthetic granulation deviation requiring documented QA review.,SOP interpretation,CAPA-066,True
DEV-132,2025-12-02,,2025-12-26,in_progress,minor,Berlin Site,Production,Granulation,Product A,BATCH-2026-128,EQ-015,,SOP-037,Validation Owner 01,Synthetic granulation deviation requiring documented QA review.,supplier documentation,CAPA-071,False
DEV-133,2025-08-20,2025-09-02,2025-09-27,closed,minor,Berlin Site,Engineering,Equipment Maintenance,Product A,BATCH-2026-084,EQ-001,,SOP-010,Packaging Owner 01,Synthetic equipment maintenance deviation requiring documented QA review.,SOP interpretation,CAPA-006,False
DEV-134,2025-05-21,2025-06-16,2025-06-23,closed,minor,Basel Site,Production,Cleaning,Product C,BATCH-2026-084,EQ-007,,SOP-043,Engineering Owner 01,Synthetic cleaning deviation requiring documented QA review.,documentation gap,,False
DEV-135,2025-06-10,,2025-06-30,in_progress,minor,Basel Site,Engineering,Equipment Maintenance,Product A,BATCH-2026-113,EQ-019,,SOP-070,Supplier Quality Owner 01,Synthetic equipment maintenance deviation requiring documented QA review.,equipment setup,CAPA-017,True
DEV-136,2025-06-27,,2025-08-11,in_progress,critical,Basel Site,Production,Cleaning,Product A,BATCH-2026-088,EQ-020,,SOP-071,Production Owner 01,Synthetic cleaning deviation requiring documented QA review.,documentation gap,,False
DEV-137,2025-06-11,,2025-07-12,open,minor,Basel Site,QA Operations,Supplier Qualification,Product C,BATCH-2026-021,,SUP-007,SOP-064,QA Owner 02,Synthetic supplier qualification deviation requiring documented QA review.,supplier documentation,,False
DEV-138,2025-10-09,2025-11-20,2025-11-08,closed,minor,Berlin Site,Engineering,Equipment Maintenance,Product A,BATCH-2026-099,EQ-017,,SOP-041,QA Owner 02,Synthetic equipment maintenance deviation requiring documented QA review.,documentation gap,CAPA-043,False
DEV-139,2025-05-28,2025-07-04,2025-07-02,closed,major,Basel Site,Production,Cleaning,Product A,BATCH-2026-067,EQ-008,,SOP-099,QA Owner 02,Synthetic cleaning deviation requiring documented QA review.,supplier documentation,,False
DEV-140,2026-02-01,,2026-02-24,in_progress,major,Basel Site,Production,Weighing,Product C,BATCH-2026-115,EQ-007,,SOP-079,Packaging Owner 01,Synthetic weighing deviation requiring documented QA review.,equipment setup,,False
DEV-141,2026-02-05,2026-03-11,2026-03-06,closed,major,Basel Site,Production,Granulation,Product C,BATCH-2026-042,EQ-006,,SOP-067,Packaging Owner 01,Synthetic granulation deviation requiring documented QA review.,supplier documentation,,False
DEV-142,2025-07-21,2025-07-27,2025-09-01,closed,minor,Basel Site,QA Operations,Supplier Qualification,Product A,BATCH-2026-154,,SUP-005,SOP-073,QA Owner 01,Synthetic supplier qualification deviation requiring documented QA review.,SOP interpretation,CAPA-019,False
DEV-143,2026-02-03,,2026-03-14,in_progress,major,Berlin Site,Production,Granulation,Product C,BATCH-2026-036,EQ-013,,SOP-047,QA Owner 01,Synthetic granulation deviation requiring documented QA review.,supplier documentation,,False
DEV-144,2025-11-29,,2026-01-04,in_progress,major,Basel Site,Production,Granulation,Product C,BATCH-2026-028,EQ-001,,SOP-074,QA Owner 02,Synthetic granulation deviation requiring documented QA review.,supplier documentation,CAPA-038,True
DEV-145,2025-05-23,2025-06-13,2025-06-30,closed,minor,Basel Site,Production,Weighing,Product C,BATCH-2026-173,EQ-010,,SOP-028,Production Owner 01,Synthetic weighing deviation requiring documented QA review.,equipment setup,,True
DEV-146,2025-07-30,2025-08-26,2025-09-12,closed,minor,Basel Site,QA Operations,Supplier Qualification,Product B,BATCH-2026-022,,SUP-001,SOP-051,Packaging Owner 01,Synthetic supplier qualification deviation requiring documented QA review.,SOP interpretation,,False
DEV-147,2025-08-12,2025-09-02,2025-09-24,closed,minor,Berlin Site,Production,Weighing,Product B,BATCH-2026-124,EQ-008,,SOP-022,Packaging Owner 01,Synthetic weighing deviation requiring documented QA review.,supplier documentation,CAPA-077,False
DEV-148,2025-10-06,,2025-11-20,open,minor,Basel Site,Production,Weighing,Product B,BATCH-2026-005,EQ-001,,SOP-013,QA Owner 02,Synthetic weighing deviation requiring documented QA review.,equipment setup,CAPA-069,False
DEV-149,2026-01-04,,2026-01-25,in_progress,minor,Berlin Site,Production,Weighing,Product C,BATCH-2026-036,EQ-003,,SOP-077,Production Owner 02,Synthetic weighing deviation requiring documented QA review.,SOP interpretation,,False
DEV-150,2025-05-11,2025-06-11,2025-06-12,closed,major,Basel Site,Engineering,Equipment Maintenance,Product A,BATCH-2026-167,EQ-007,,SOP-071,Supplier Quality Owner 01,Synthetic equipment maintenance deviation requiring documented QA review.,SOP interpretation,,False
DEV-151,2025-07-20,2025-08-17,2025-08-28,closed,major,Berlin Site,Production,Weighing,Product C,BATCH-2026-177,EQ-009,,SOP-078,Production Owner 01,Synthetic weighing deviation requiring documented QA review.,supplier documentation,CAPA-013,False
DEV-152,2025-08-26,,2025-10-03,open,major,Berlin Site,Production,Granulation,Product C,BATCH-2026-083,EQ-012,,SOP-009,Warehouse Owner 01,Synthetic granulation deviation requiring documented QA review.,equipment setup,CAPA-011,True
DEV-153,2026-01-08,,2026-02-03,in_progress,major,Berlin Site,Production,Cleaning,Product B,BATCH-2026-060,EQ-020,,SOP-064,Packaging Owner 01,Synthetic cleaning deviation requiring documented QA review.,supplier documentation,,False
DEV-154,2025-05-01,,2025-05-26,in_progress,minor,Berlin Site,Engineering,Equipment Maintenance,Product B,BATCH-2026-009,EQ-001,,SOP-022,Packaging Owner 01,Synthetic equipment maintenance deviation requiring documented QA review.,supplier documentation,,False
DEV-155,2025-12-11,,2026-01-06,in_progress,minor,Berlin Site,Production,Weighing,Product C,BATCH-2026-135,EQ-017,,SOP-071,Packaging Owner 01,Synthetic weighing deviation requiring documented QA review.,supplier documentation,CAPA-028,False
DEV-156,2025-12-11,2025-12-30,2026-01-03,closed,minor,Basel Site,Production,Granulation,Product A,BATCH-2026-172,EQ-007,,SOP-012,QA Owner 01,Synthetic granulation deviation requiring documented QA review.,equipment setup,,True
DEV-157,2025-12-31,,2026-02-05,in_progress,major,Basel Site,Engineering,Equipment Maintenance,Product C,BATCH-2026-026,EQ-006,,SOP-005,QA Owner 02,Synthetic equipment maintenance deviation requiring documented QA review.,SOP interpretation,CAPA-031,False
DEV-158,2025-07-02,,2025-07-25,in_progress,minor,Basel Site,QA Operations,Supplier Qualification,Product A,BATCH-2026-140,,SUP-012,SOP-006,QA Owner 02,Synthetic supplier qualification deviation requiring documented QA review.,SOP interpretation,CAPA-023,False
DEV-159,2026-01-02,,2026-01-26,in_progress,minor,Berlin Site,Engineering,Equipment Maintenance,Product B,BATCH-2026-013,EQ-006,,SOP-094,Packaging Owner 01,Synthetic equipment maintenance deviation requiring documented QA review.,documentation gap,,False
DEV-160,2026-02-14,2026-03-04,2026-03-15,closed,minor,Basel Site,QA Operations,Supplier Qualification,Product C,BATCH-2026-062,,SUP-005,SOP-032,Engineering Owner 01,Synthetic supplier qualification deviation requiring documented QA review.,supplier documentation,,False
DEV-161,2025-06-30,2025-07-21,2025-08-09,closed,minor,Basel Site,Production,Weighing,Product C,BATCH-2026-115,EQ-014,,SOP-015,Supplier Quality Owner 01,Synthetic weighing deviation requiring documented QA review.,supplier documentation,,False
DEV-162,2025-08-20,2025-09-23,2025-09-19,closed,critical,Berlin Site,Production,Weighing,Product A,BATCH-2026-175,EQ-019,,SOP-078,QA Owner 02,Synthetic weighing deviation requiring documented QA review.,SOP interpretation,CAPA-014,False
DEV-163,2025-05-11,2025-05-16,2025-06-21,closed,minor,Berlin Site,Production,Weighing,Product A,BATCH-2026-073,EQ-010,,SOP-088,Validation Owner 01,Synthetic weighing deviation requiring documented QA review.,documentation gap,,True
DEV-164,2025-05-05,2025-06-17,2025-06-19,closed,minor,Basel Site,Engineering,Equipment Maintenance,Product A,BATCH-2026-116,EQ-001,,SOP-092,Production Owner 02,Synthetic equipment maintenance deviation requiring documented QA review.,supplier documentation,,False
DEV-165,2025-09-05,,2025-09-26,in_progress,minor,Berlin Site,QA Operations,Supplier Qualification,Product C,BATCH-2026-093,,SUP-006,SOP-069,Packaging Owner 01,Synthetic supplier qualification deviation requiring documented QA review.,equipment setup,,False
