deviation_id,opened_date,closed_date,due_date,status,severity,site,department,process,product,batch_id,equipment_id,supplier_id,sop_id,owner,short_description,root_cause_category,capa_id,recurrence_flag
DEV-166,2026-02-25,,2026-03-22,in_progress,minor,Basel Site,Production,Weighing,Product C,BATCH-2026-152,EQ-010,,SOP-058,QA Owner 01,Synthetic weighing deviation requiring documented QA review.,SOP interpretation,,False
DEV-167,2026-02-02,2026-02-18,2026-03-10,closed,major,Berlin Site,Production,Cleaning,Product A,BATCH-2026-127,EQ-002,,SOP-066,QA Owner 02,Synthetic cleaning deviation requiring documented QA review.,equipment setup,,False
DEV-168,2025-06-06,2025-06-18,2025-06-26,closed,major,Berlin Site,Engineering,Equipment Maintenance,Product A,BATCH-2026-011,EQ-007,,SOP-001,Packaging Owner 01,Synthetic equipment maintenance deviation requiring documented QA review.,SOP interpretation,,True
DEV-169,2025-10-02,2025-11-02,2025-11-05,closed,major,Basel Site,Engineering,Equipment Maintenance,Product C,BATCH-2026-014,EQ-007,,SOP-081,Validation Owner 01,Synthetic equipment maintenance deviation requiring documented QA review.,documentation gap,CAPA-045,False
DEV-170,2025-05-21,2025-06-13,2025-06-12,closed,minor,Basel Site,Production,Granulation,Product A,BATCH-2026-072,EQ-005,,SOP-081,QA Owner 01,Synthetic granulation deviation requiring documented QA review.,documentation gap,,False
DEV-171,2025-06-01,2025-06-25,2025-07-13,closed,major,Berlin Site,Engineering,Equipment Maintenance,Product A,BATCH-2026-109,EQ-010,,SOP-049,QA Owner 01,Synthetic equipment maintenance deviation requiring documented QA review.,equipment setup,,False
DEV-172,2025-05-09,2025-06-14,2025-06-17,closed,minor,Basel Site,Engineering,Equipment Maintenance,Product C,BATCH-2026-076,EQ-016,,SOP-046,Production Owner 02,Synthetic equipment maintenance deviation requiring documented QA review.,equipment setup,,False
DEV-173,2025-12-19,2026-01-01,2026-01-20,closed,major,Berlin Site,Production,Cleaning,Product A,BATCH-2026-120,EQ-016,,SOP-008,Packaging Owner 01,Synthetic cleaning deviation requiring documented QA review.,SOP interpretation,CAPA-012,False
DEV-174,2026-03-07,2026-04-19,2026-04-11,closed,critical,Basel Site,Production,Cleaning,Product C,BATCH-2026-099,EQ-016,,SOP-039,QA Owner 02,Synthetic cleaning deviation requiring documented QA review.,documentation gap,,True
DEV-175,2026-01-18,2026-03-04,2026-03-04,closed,minor,Berlin Site,Production,Weighing,Product A,BATCH-2026-127,EQ-015,,SOP-052,Validation Owner 01,Synthetic weighing deviation requiring documented QA review.,supplier documentation,,False
DEV-176,2025-07-03,,2025-08-16,in_progress,critical,Basel Site,Engineering,Equipment Maintenance,Product A,BATCH-2026-071,EQ-020,,SOP-029,QA Owner 02,Synthetic equipment maintenance deviation requiring documented QA review.,equipment setup,,False
DEV-177,2025-08-24,,2025-10-05,in_progress,major,Basel Site,Production,Cleaning,Product B,BATCH-2026-041,EQ-011,,SOP-080,QA Owner 02,Synthetic cleaning deviation requiring documented QA review.,documentation gap,CAPA-066,False
DEV-178,2025-12-27,2026-02-02,2026-01-19,closed,minor,Berlin Site,QA Operations,Supplier Qualification,Product B,BATCH-2026-005,,SUP-001,SOP-036,Production Owner 02,Synthetic supplier qualification deviation requiring documented QA review.,supplier documentation,CAPA-054,False
DEV-179,2026-02-28,2026-03-14,2026-03-21,closed,minor,Basel Site,Engineering,Equipment Maintenance,Product A,BATCH-2026-030,EQ-002,,SOP-042,QA Owner 02,Synthetic equipment maintenance deviation requiring documented QA review.,equipment setup,,True
DEV-180,2025-05-30,2025-06-29,2025-07-14,closed,minor,Basel Site,Production,Cleaning,Product A,BATCH-2026-007,EQ-003,,SOP-082,QA Owner 01,Synthetic cleaning deviation requiring documented QA review.,documentation gap,CAPA-021,False
DEV-181,2025-05-05,,2025-06-09,in_progress,major,Basel Site,Engineering,Equipment Maintenance,Product C,BATCH-2026-066,EQ-014,,SOP-005,Production Owner 02,Synthetic equipment maintenance deviation requiring documented QA review.,supplier documentation,CAPA-021,False
DEV-182,2025-05-17,,2025-06-28,in_progress,major,Basel Site,Production,Cleaning,Product C,BATCH-2026-030,EQ-018,,SOP-094,Packaging Owner 01,Synthetic cleaning deviation requiring documented QA review.,supplier documentation,CAPA-080,False
DEV-183,2026-02-12,,2026-03-29,in_progress,minor,Berlin Site,Engineering,Equipment Maintenance,Product C,BATCH-2026-152,EQ-015,,SOP-088,QA Owner 01,Synthetic equipment maintenance deviation requiring documented QA review.,SOP interpretation,CAPA-053,False
DEV-184,2025-05-23,2025-07-06,2025-06-26,closed,minor,Basel Site,Production,Cleaning,Product B,BATCH-2026-038,EQ-001,,SOP-086,Packaging Owner 01,Synthetic cleaning deviation requiring documented QA review.,documentation gap,CAPA-061,False
DEV-185,2026-02-27,,2026-04-02,open,minor,Basel Site,QA Operations,Supplier Qualification,Product A,BATCH-2026-100,,SUP-007,SOP-065,Packaging Owner 01,Synthetic supplier qualification deviation requiring documented QA review.,supplier documentation,,False
DEV-186,2025-12-25,2026-01-26,2026-01-31,closed,minor,Berlin Site,Engineering,Equipment Maintenance,Product A,BATCH-2026-007,EQ-006,,SOP-030,QA Owner 02,Synthetic equipment maintenance deviation requiring documented QA review.,documentation gap,,True
DEV-187,2025-09-11,,2025-10-25,in_progress,major,Berlin Site,Production,Granulation,Product A,BATCH-2026-027,EQ-019,,SOP-008,QA Owner 02,Synthetic granulation deviation requiring documented QA review.,documentation gap,,False
DEV-188,2026-02-08,2026-02-22,2026-02-28,closed,minor,Berlin Site,QA Operations,Supplier Qualification,Product B,BATCH-2026-063,,SUP-008,SOP-093,Production Owner 01,Synthetic supplier qualification deviation requiring documented QA review.,SOP interpretation,,True
DEV-189,2025-08-27,2025-10-02,2025-09-28,closed,major,Berlin Site,Production,Granulation,Product B,BATCH-2026-071,EQ-011,,SOP-059,Supplier Quality Owner 01,Synthetic granulation deviation requiring documented QA review.,documentation gap,CAPA-004,False
DEV-190,2025-09-17,,2025-10-22,open,minor,Berlin Site,Engineering,Equipment Maintenance,Product B,BATCH-2026-111,EQ-012,,SOP-077,Packaging Owner 01,Synthetic equipment maintenance deviation requiring documented QA review.,SOP interpretation,,False
DEV-191,2025-12-03,2025-12-15,2026-01-09,closed,major,Basel Site,Production,Cleaning,Product C,BATCH-2026-094,EQ-012,,SOP-035,QA Owner 02,Synthetic cleaning deviation requiring documented QA review.,equipment setup,CAPA-044,False
DEV-192,2026-02-16,2026-03-20,2026-03-12,closed,minor,Berlin Site,Production,Cleaning,Product A,BATCH-2026-154,EQ-019,,SOP-049,QA Owner 01,Synthetic cleaning deviation requiring documented QA review.,documentation gap,,False
DEV-193,2025-08-16,2025-09-01,2025-09-30,closed,critical,Berlin Site,Engineering,Equipment Maintenance,Product B,BATCH-2026-174,EQ-006,,SOP-037,QA Owner 02,Synthetic equipment maintenance deviation requiring documented QA review.,equipment setup,,False
DEV-194,2025-12-20,,2026-01-21,in_progress,minor,Basel Site,Engineering,Equipment Maintenance,Product C,BATCH-2026-026,EQ-004,,SOP-075,Packaging Owner 01,Synthetic equipment maintenance deviation requiring documented QA review.,documentation gap,,True
DEV-195,2025-06-27,2025-07-22,2025-08-05,closed,minor,Basel Site,Production,Weighing,Product B,BATCH-2026-151,EQ-012,,SOP-090,QA Owner 02,Synthetic weighing deviation requiring documented QA review.,supplier documentation,,False
DEV-196,2025-06-26,2025-07-22,2025-07-25,closed,minor,Basel Site,QA Operations,Supplier Qualification,Product B,BATCH-2026-096,,SUP-002,SOP-035,Engineering Owner 01,Synthetic supplier qualification deviation requiring documented QA review.,documentation gap,,True
DEV-197,2026-03-06,2026-03-21,2026-04-07,closed,major,Berlin Site,Engineering,Equipment Maintenance,Product B,BATCH-2026-040,EQ-014,,SOP-060,QA Owner 01,Synthetic equipment maintenance deviation requiring documented QA review.,equipment setup,CAPA-045,False
DEV-198,2025-09-23,,2025-10-26,in_progress,minor,Berlin Site,QA Operations,Supplier Qualification,Product C,BATCH-2026-078,,SUP-010,SOP-090,Packaging Owner 01,Synthetic supplier qualification deviation requiring documented QA review.,documentation gap,CAPA-075,False
DEV-199,2026-02-02,,2026-03-14,open,major,Berlin Site,Production,Cleaning,Product C,BATCH-2026-168,EQ-017,,SOP-032,Packaging Owner 01,Synthetic cleaning deviation requiring documented QA review.,supplier documentation,CAPA-076,False
DEV-200,2025-05-06,2025-06-18,2025-06-10,closed,minor,Berlin Site,Production,Granulation,Product A,BATCH-2026-005,EQ-018,,SOP-066,QA Owner 02,Synthetic granulation deviation requiring documented QA review.,documentation gap,,False
DEV-201,2026-02-25,,2026-03-23,open,major,Berlin Site,Engineering,Equipment Maintenance,Product A,BATCH-2026-166,EQ-016,,SOP-035,QA Owner 02,Synthetic equipment maintenance deviation requiring documented QA review.,SOP interpretation,,False
DEV-202,2025-11-21,2026-01-01,2025-12-18,closed,minor,Basel Site,QA Operations,Supplier Qualification,Product B,BATCH-2026-106,,SUP-013,SOP-024,Validation Owner 01,Synthetic supplier qualification deviation requiring documented QA review.,documentation gap,,False
DEV-203,2025-08-17,,2025-09-28,in_progress,minor,Berlin Site,Production,Weighing,Product C,BATCH-2026-148,EQ-004,,SOP-093,QA Owner 02,Synthetic weighing deviation requiring documented QA review.,equipment setup,CAPA-060,True
DEV-204,2025-08-11,2025-09-18,2025-09-25,closed,major,Basel Site,Production,Granulation,Product A,BATCH-2026-169,EQ-009,,SOP-027,QA Owner 02,Synthetic granulation deviation requiring documented QA review.,supplier documentation,CAPA-069,False
DEV-205,2026-03-06,,2026-04-08,in_progress,minor,Basel Site,Production,Weighing,Product C,BATCH-2026-042,EQ-002,,SOP-001,QC Owner 02,Synthetic weighing deviation requiring documented QA review.,documentation gap,CAPA-063,False
DEV-206,2025-08-07,,2025-09-15,in_progress,minor,Berlin Site,Production,Cleaning,Product B,BATCH-2026-035,EQ-012,,SOP-018,Supplier Quality Owner 01,Synthetic cleaning deviation requiring documented QA review.,equipment setup,,False
DEV-207,2025-10-22,,2025-11-12,in_progress,minor,Berlin Site,Engineering,Equipment Maintenance,Product B,BATCH-2026-087,EQ-012,,SOP-089,QA Owner 02,Synthetic equipment maintenance deviation requiring documented QA review.,documentation gap,,False
DEV-208,2025-05-19,2025-06-22,2025-06-19,closed,major,Berlin Site,Production,Granulation,Product B,BATCH-2026-080,EQ-009,,SOP-072,Validation Owner 01,Synthetic granulation deviation requiring documented QA review.,SOP interpretation,,False
DEV-209,2025-06-25,,2025-07-15,in_progress,minor,Basel Site,Production,Weighing,Product B,BATCH-2026-160,EQ-011,,SOP-003,Packaging Owner 01,Synthetic weighing deviation requiring documented QA review.,documentation gap,,True
DEV-210,2025-09-08,2025-09-16,2025-10-16,closed,critical,Berlin Site,Production,Weighing,Product C,BATCH-2026-177,EQ-009,,SOP-059,QA Owner 02,Synthetic weighing deviation requiring documented QA review.,documentation gap,,False
DEV-211,2025-07-18,2025-07-31,2025-08-07,closed,minor,Basel Site,Production,Weighing,Product C,BATCH-2026-127,EQ-007,,SOP-042,QA Owner 01,Synthetic weighing deviation requiring documented QA review.,SOP interpretation,,False
DEV-212,2025-06-26,,2025-07-23,in_progress,major,Basel Site,Production,Weighing,Product B,BATCH-2026-168,EQ-010,,SOP-096,QA Owner 02,Synthetic weighing deviation requiring documented QA review.,equipment setup,,False
DEV-213,2025-05-09,,2025-06-21,open,major,Basel Site,Production,Weighing,Product B,BATCH-2026-160,EQ-016,,SOP-073,Packaging Owner 01,Synthetic weighing deviation requiring documented QA review.,supplier documentation,,False
DEV-214,2025-05-06,2025-05-23,2025-05-28,closed,minor,Berlin Site,Production,Weighing,Product B,BATCH-2026-120,EQ-019,,SOP-044,Supplier Quality Owner 01,Synthetic weighing deviation requiring documented QA review.,SOP interpretation,,False
DEV-215,2026-01-06,2026-01-24,2026-01-30,closed,minor,Basel Site,Engineering,Equipment Maintenance,Product B,BATCH-2026-012,EQ-001,,SOP-003,Production Owner 01,Synthetic equipment maintenance deviation requiring documented QA review.,documentation gap,,False
DEV-216,2026-01-21,2026-02-26,2026-02-12,closed,minor,Basel Site,Production,Cleaning,Product C,BATCH-2026-146,EQ-004,,SOP-062,Production Owner 01,Synthetic cleaning deviation requiring documented QA review.,supplier documentation,,False
DEV-217,2025-10-07,2025-11-16,2025-11-12,closed,minor,Basel Site,QA Operations,Supplier Qualification,Product A,BATCH-2026-136,,SUP-006,SOP-031,Warehouse Owner 01,Synthetic supplier qualification deviation requiring documented QA review.,supplier documentation,CAPA-034,True
DEV-218,2025-07-10,2025-08-08,2025-08-21,closed,minor,Berlin Site,QA Operations,Supplier Qualification,Product C,BATCH-2026-147,,SUP-014,SOP-084,QA Owner 01,Synthetic supplier qualification deviation requiring documented QA review.,SOP interpretation,,False
DEV-219,2025-09-19,2025-10-14,2025-10-16,closed,minor,Berlin Site,Production,Weighing,Product B,BATCH-2026-038,EQ-014,,SOP-037,QA Owner 01,Synthetic weighing deviation requiring documented QA review.,documentation gap,,False
DEV-220,2025-06-24,2025-07-15,2025-08-08,closed,major,Berlin Site,Engineering,Equipment Maintenance,Product B,BATCH-2026-086,EQ-001,,SOP-003,QA Owner 01,Synthetic equipment maintenance deviation requiring documented QA review.,documentation gap,,False
DEV-221,2025-05-20,,2025-06-09,open,major,Basel Site,Engineering,Equipment Maintenance,Product C,BATCH-2026-039,EQ-017,,SOP-017,Packaging Owner 01,Synthetic equipment maintenance deviation requiring documented QA review.,SOP interpretation,,False
DEV-222,2026-02-06,,2026-03-11,cancelled,minor,Basel Site,Engineering,Equipment Maintenance,Product A,BATCH-2026-158,EQ-016,,SOP-020,Packaging Owner 01,Synthetic equipment maintenance deviation requiring documented QA review.,documentation gap,CAPA-001,False
DEV-223,2025-12-24,,2026-02-01,cancelled,minor,Berlin Site,Production,Weighing,Product B,BATCH-2026-114,EQ-007,,SOP-012,Production Owner 02,Synthetic weighing deviation requiring documented QA review.,SOP interpretation,,True
DEV-224,2025-09-06,2025-09-16,2025-10-07,closed,minor,Berlin Site,Engineering,Equipment Maintenance,Product C,BATCH-2026-034,EQ-001,,SOP-012,QA Owner 01,Synthetic equipment maintenance deviation requiring documented QA review.,equipment setup,,False
DEV-225,2025-12-31,2026-02-08,2026-02-12,closed,minor,Basel Site,Production,Weighing,Product C,BATCH-2026-093,EQ-017,,SOP-078,Packaging Owner 01,Synthetic weighing deviation requiring documented QA review.,documentation gap,CAPA-045,False
DEV-226,2025-11-08,,2025-12-18,in_progress,minor,Basel Site,Engineering,Equipment Maintenance,Product C,BATCH-2026-074,EQ-015,,SOP-098,QA Owner 02,Synthetic equipment maintenance deviation requiring documented QA review.,SOP interpretation,,True
DEV-227,2025-11-11,,2025-12-20,in_progress,major,Berlin Site,QA Operations,Supplier Qualification,Product A,BATCH-2026-173,,SUP-006,SOP-056,QA Owner 02,Synthetic supplier qualification deviation requiring documented QA review.,SOP interpretation,CAPA-048,False
DEV-228,2025-05-04,,2025-06-18,cancelled,minor,Berlin Site,Production,Weighing,Product A,BATCH-2026-168,EQ-018,,SOP-072,QA Owner 01,Synthetic weighing deviation requiring documented QA review.,equipment setup,,False
DEV-229,2025-04-30,2025-05-18,2025-05-21,closed,major,Berlin Site,QA Operations,Supplier Qualification,Product B,BATCH-2026-114,,SUP-015,SOP-064,Packaging Owner 01,Synthetic supplier qualification deviation requiring documented QA review.,supplier documentation,,True
DEV-230,2025-10-19,2025-11-21,2025-11-30,closed,minor,Berlin Site,Production,Weighing,Product B,BATCH-2026-026,EQ-010,,SOP-066,QA Owner 01,Synthetic weighing deviation requiring documented QA review.,documentation gap,,False
DEV-231,2025-05-06,2025-05-12,2025-05-26,closed,minor,Berlin Site,Production,Cleaning,Product B,BATCH-2026-028,EQ-020,,SOP-100,Validation Owner 01,Synthetic cleaning deviation requiring documented QA review.,supplier documentation,,False
DEV-232,2025-08-16,2025-08-29,2025-09-05,closed,minor,Berlin Site,Production,Weighing,Product C,BATCH-2026-162,EQ-001,,SOP-067,QA Owner 01,Synthetic weighing deviation requiring documented QA review.,SOP interpretation,,False
DEV-233,2025-08-31,2025-10-08,2025-09-26,closed,minor,Berlin Site,Production,Granulation,Product A,BATCH-2026-161,EQ-014,,SOP-016,Packaging Owner 01,Synthetic granulation deviation requiring documented QA review.,equipment setup,,False
DEV-234,2026-03-01,,2026-04-05,open,minor,Basel Site,Production,Weighing,Product A,BATCH-2026-023,EQ-011,,SOP-097,Packaging Owner 01,Synthetic weighing deviation requiring documented QA review.,supplier documentation,,False
DEV-235,2025-05-30,2025-06-30,2025-07-01,closed,major,Basel Site,QA Operations,Supplier Qualification,Product C,BATCH-2026-088,,SUP-008,SOP-007,QC Owner 02,Synthetic supplier qualification deviation requiring documented QA review.,supplier documentation,,True
DEV-236,2025-10-12,2025-10-30,2025-11-16,closed,major,Basel Site,Engineering,Equipment Maintenance,Product A,BATCH-2026-081,EQ-017,,SOP-079,Validation Owner 01,Synthetic equipment maintenance deviation requiring documented QA review.,supplier documentation,,False
DEV-237,2025-05-16,,2025-06-20,in_progress,major,Basel Site,QA Operations,Supplier Qualification,Product A,BATCH-2026-047,,SUP-003,SOP-012,QA Owner 01,Synthetic supplier qualification deviation requiring documented QA review.,supplier documentation,CAPA-036,False
DEV-238,2026-01-22,2026-02-18,2026-02-28,closed,major,Basel Site,QA Operations,Supplier Qualification,Product C,BATCH-2026-075,,SUP-014,SOP-012,QA Owner 02,Synthetic supplier qualification deviation requiring documented QA review.,SOP interpretation,,False
DEV-239,2026-02-16,2026-03-28,2026-03-14,closed,minor,Basel Site,QA Operations,Supplier Qualification,Product C,BATCH-2026-031,,SUP-001,SOP-075,Validation Owner 01,Synthetic supplier qualification deviation requiring documented QA review.,supplier documentation,CAPA-027,False
DEV-240,2025-11-10,2025-12-22,2025-12-25,closed,minor,Basel Site,Engineering,Equipment Maintenance,Product C,BATCH-2026-032,EQ-008,,SOP-090,Production Owner 02,Synthetic equipment maintenance deviation requiring documented QA review.,supplier documentation,,False
DEV-241,2025-09-15,2025-10-07,2025-10-06,closed,minor,Basel Site,Production,Weighing,Product A,BATCH-2026-120,EQ-017,,SOP-041,Packaging Owner 01,Synthetic weighing deviation requiring documented QA review.,documentation gap,,False
DEV-242,2025-08-26,2025-09-13,2025-09-25,closed,minor,Basel Site,Engineering,Equipment Maintenance,Product A,BATCH-2026-022,EQ-004,,SOP-020,QA Owner 01,Synthetic equipment maintenance deviation requiring documented QA review.,equipment setup,CAPA-042,True
DEV-243,2026-02-17,2026-03-18,2026-03-16,closed,minor,Basel Site,Production,Weighing,Product C,BATCH-2026-138,EQ-016,,SOP-067,QA Owner 02,Synthetic weighing deviation requiring documented QA review.,equipment setup,,False
DEV-244,2026-01-16,2026-02-25,2026-02-13,closed,minor,Basel Site,QA Operations,Supplier Qualification,Product B,BATCH-2026-080,,SUP-008,SOP-048,QA Owner 01,Synthetic supplier qualification deviation requiring documented QA review.,equipment setup,,False
DEV-245,2026-01-11,,2026-02-24,in_progress,major,Basel Site,Engineering,Equipment Maintenance,Product A,BATCH-2026-116,EQ-010,,SOP-034,QA Owner 01,Synthetic equipment maintenance deviation requiring documented QA review.,supplier documentation,,True
DEV-246,2026-01-06,2026-01-24,2026-01-28,closed,major,Berlin Site,QA Operations,Supplier Qualification,Product A,BATCH-2026-175,,SUP-004,SOP-082,QA Owner 02,Synthetic supplier qualification deviation requiring documented QA review.,SOP interpretation,,False
DEV-247,2025-07-02,2025-08-11,2025-08-09,closed,minor,Berlin Site,Production,Weighing,Product A,BATCH-2026-180,EQ-019,,SOP-057,QC Owner 02,Synthetic weighing deviation requiring documented QA review.,documentation gap,,False
DEV-248,2026-01-16,,2026-02-10,open,minor,Basel Site,Production,Granulation,Product A,BATCH-2026-059,EQ-009,,SOP-086,Production Owner 01,Synthetic granulation deviation requiring documented QA review.,supplier documentation,,False
DEV-249,2025-08-09,,2025-09-12,open,major,Basel Site,Production,Weighing,Product C,BATCH-2026-156,EQ-017,,SOP-088,Validation Owner 01,Synthetic weighing deviation requiring documented QA review.,documentation gap,CAPA-065,False
DEV-250,2025-09-27,,2025-11-06,in_progress,minor,Basel Site,Engineering,Equipment Maintenance,Product A,BATCH-2026-141,EQ-004,,SOP-076,Packaging Owner 01,Synthetic equipment maintenance deviation requiring documented QA review.,SOP interpretation,,False
